Index;Date[UTC];Time[UTC];DvLIR-SN;MeterNumber;1.8.0[kWh];1.8.1[kWh];1.8.2[kWh];2.8.0[kWh];2.8.1[kWh];2.8.2[kWh];CurrentPower[W];Status
1;28.02.2024;15:45:00;000001;11121956;3559,9444;3559,9444;0,0000;49,8871;49,8871;0,0000;154;
2;28.02.2024;15:30:00;000001;11121956;3559,9063;3559,9063;0,0000;49,8871;49,8871;0,0000;150;
3;28.02.2024;15:15:00;000001;11121956;3559,8739;3559,8739;0,0000;49,8871;49,8871;0,0000;2006;
4;28.02.2024;15:00:00;000001;11121956;3559,7274;3559,7274;0,0000;49,8871;49,8871;0,0000;92;
5;28.02.2024;14:45:00;000001;11121956;3559,7061;3559,7061;0,0000;49,8871;49,8871;0,0000;99;
6;28.02.2024;14:30:00;000001;11121956;3559,5615;3559,5615;0,0000;49,8871;49,8871;0,0000;2084;
7;28.02.2024;14:15:00;000001;11121956;3559,5287;3559,5287;0,0000;49,8871;49,8871;0,0000;48;
8;28.02.2024;14:00:00;000001;11121956;3559,4049;3559,4049;0,0000;49,8871;49,8871;0,0000;160;
9;28.02.2024;13:45:00;000001;11121956;3559,3824;3559,3824;0,0000;49,8871;49,8871;0,0000;124;
10;28.02.2024;13:30:00;000001;11121956;3559,3531;3559,3531;0,0000;49,8871;49,8871;0,0000;122;
11;28.02.2024;13:15:00;000001;11121956;3559,3212;3559,3212;0,0000;49,8871;49,8871;0,0000;134;
12;28.02.2024;13:00:00;000001;11121956;3559,2944;3559,2944;0,0000;49,8871;49,8871;0,0000;105;
13;28.02.2024;12:45:00;000001;11121956;3559,2678;3559,2678;0,0000;49,8871;49,8871;0,0000;134;
14;28.02.2024;12:30:00;000001;11121956;3559,2402;3559,2402;0,0000;49,8871;49,8871;0,0000;113;
15;28.02.2024;12:15:00;000001;11121956;3559,2054;3559,2054;0,0000;49,8871;49,8871;0,0000;113;
16;28.02.2024;12:00:00;000001;11121956;3559,1769;3559,1769;0,0000;49,8871;49,8871;0,0000;114;
17;28.02.2024;11:45:00;000001;11121956;3559,1482;3559,1482;0,0000;49,8871;49,8871;0,0000;116;
18;28.02.2024;11:30:00;000001;11121956;3559,1186;3559,1186;0,0000;49,8871;49,8871;0,0000;121;
19;28.02.2024;11:15:00;000001;11121956;3559,0845;3559,0845;0,0000;49,8871;49,8871;0,0000;167;
20;28.02.2024;11:00:00;000001;11121956;3558,9508;3558,9508;0,0000;49,8871;49,8871;0,0000;582;
21;28.02.2024;10:45:00;000001;11121956;3558,8205;3558,8205;0,0000;49,8871;49,8871;0,0000;406;
22;28.02.2024;10:30:00;000001;11121956;3558,6879;3558,6879;0,0000;49,8871;49,8871;0,0000;167;
23;28.02.2024;10:15:00;000001;11121956;3558,6475;3558,6475;0,0000;49,8871;49,8871;0,0000;156;
24;28.02.2024;10:00:00;000001;11121956;3558,6096;3558,6096;0,0000;49,8871;49,8871;0,0000;181;
25;28.02.2024;09:45:00;000001;11121956;3558,5674;3558,5674;0,0000;49,8871;49,8871;0,0000;217;
26;28.02.2024;09:30:00;000001;11121956;3558,5193;3558,5193;0,0000;49,8871;49,8871;0,0000;174;
27;28.02.2024;09:15:00;000001;11121956;3558,4754;3558,4754;0,0000;49,8871;49,8871;0,0000;216;
