Index;Date[UTC];Time[UTC];DvLIR-SN;MeterNumber;1.8.0[kWh];1.8.1[kWh];1.8.2[kWh];2.8.0[kWh];2.8.1[kWh];2.8.2[kWh];CurrentPower[W];Status
304;25.02.2024;12:00:00;000001;11121956;3540,8909;3540,8909;0,0000;49,8471;49,8471;0,0000;269;
305;25.02.2024;11:45:00;000001;11121956;3540,5976;3540,5976;0,0000;49,8471;49,8471;0,0000;1547;
306;25.02.2024;11:30:00;000001;11121956;3540,3793;3540,3793;0,0000;49,8466;49,8466;0,0000;1251;
307;25.02.2024;11:15:00;000001;11121956;3540,0834;3540,0834;0,0000;49,8466;49,8466;0,0000;1170;
308;25.02.2024;11:00:00;000001;11121956;3540,0412;3540,0412;0,0000;49,7905;49,7905;0,0000;-221;
309;25.02.2024;10:45:00;000001;11121956;3539,9678;3539,9678;0,0000;49,7734;49,7734;0,0000;130;
310;25.02.2024;10:30:00;000001;11121956;3539,7898;3539,7898;0,0000;49,7734;49,7734;0,0000;1873;
311;25.02.2024;10:15:00;000001;11121956;3539,6253;3539,6253;0,0000;49,7710;49,7710;0,0000;1109;
312;25.02.2024;10:00:00;000001;11121956;3539,1631;3539,1631;0,0000;49,7710;49,7710;0,0000;31;
313;25.02.2024;09:45:00;000001;11121956;3538,8692;3538,8692;0,0000;49,7710;49,7710;0,0000;375;
314;25.02.2024;09:30:00;000001;11121956;3538,6384;3538,6384;0,0000;49,7710;49,7710;0,0000;2576;
315;25.02.2024;09:15:00;000001;11121956;3538,1092;3538,1092;0,0000;49,7710;49,7710;0,0000;424;
316;25.02.2024;09:00:00;000001;11121956;3537,2384;3537,2384;0,0000;49,7710;49,7710;0,0000;3606;
317;25.02.2024;08:45:00;000001;11121956;3537,1015;3537,1015;0,0000;49,7710;49,7710;0,0000;259;
318;25.02.2024;08:30:00;000001;11121956;3537,0251;3537,0251;0,0000;49,7710;49,7710;0,0000;296;
319;25.02.2024;08:15:00;000001;11121956;3536,9540;3536,9540;0,0000;49,7710;49,7710;0,0000;256;
320;25.02.2024;08:00:00;000001;11121956;3536,8733;3536,8733;0,0000;49,7710;49,7710;0,0000;380;
321;25.02.2024;07:45:00;000001;11121956;3536,7960;3536,7960;0,0000;49,7710;49,7710;0,0000;120;
322;25.02.2024;07:30:00;000001;11121956;3536,7510;3536,7510;0,0000;49,7710;49,7710;0,0000;205;
323;25.02.2024;07:15:00;000001;11121956;3536,6986;3536,6986;0,0000;49,7710;49,7710;0,0000;433;
324;25.02.2024;07:00:00;000001;11121956;3536,6117;3536,6117;0,0000;49,7710;49,7710;0,0000;207;
325;25.02.2024;06:45:00;000001;11121956;3536,5665;3536,5665;0,0000;49,7710;49,7710;0,0000;252;
326;25.02.2024;06:30:00;000001;11121956;3536,4198;3536,4198;0,0000;49,7710;49,7710;0,0000;244;
327;25.02.2024;06:15:00;000001;11121956;3536,2652;3536,2652;0,0000;49,7710;49,7710;0,0000;125;
328;25.02.2024;06:00:00;000001;11121956;3536,2318;3536,2318;0,0000;49,7710;49,7710;0,0000;135;
329;25.02.2024;05:45:00;000001;11121956;3536,1971;3536,1971;0,0000;49,7710;49,7710;0,0000;136;
330;25.02.2024;05:30:00;000001;11121956;3536,1600;3536,1600;0,0000;49,7710;49,7710;0,0000;214;
331;25.02.2024;05:15:00;000001;11121956;3536,1145;3536,1145;0,0000;49,7710;49,7710;0,0000;135;
332;25.02.2024;05:00:00;000001;11121956;3536,0796;3536,0796;0,0000;49,7710;49,7710;0,0000;136;
333;25.02.2024;04:45:00;000001;11121956;3536,0454;3536,0454;0,0000;49,7710;49,7710;0,0000;146;
334;25.02.2024;04:30:00;000001;11121956;3536,0108;3536,0108;0,0000;49,7710;49,7710;0,0000;136;
335;25.02.2024;04:15:00;000001;11121956;3535,9715;3535,9715;0,0000;49,7710;49,7710;0,0000;174;
336;25.02.2024;04:00:00;000001;11121956;3535,9231;3535,9231;0,0000;49,7710;49,7710;0,0000;136;
337;25.02.2024;03:45:00;000001;11121956;3535,8884;3535,8884;0,0000;49,7710;49,7710;0,0000;139;
338;25.02.2024;03:30:00;000001;11121956;3535,8539;3535,8539;0,0000;49,7710;49,7710;0,0000;146;
339;25.02.2024;03:15:00;000001;11121956;3535,8194;3535,8194;0,0000;49,7710;49,7710;0,0000;135;
340;25.02.2024;03:00:00;000001;11121956;3535,7847;3535,7847;0,0000;49,7710;49,7710;0,0000;138;
341;25.02.2024;02:45:00;000001;11121956;3535,7444;3535,7444;0,0000;49,7710;49,7710;0,0000;137;
342;25.02.2024;02:30:00;000001;11121956;3535,7093;3535,7093;0,0000;49,7710;49,7710;0,0000;137;
343;25.02.2024;02:15:00;000001;11121956;3535,6751;3535,6751;0,0000;49,7710;49,7710;0,0000;136;
344;25.02.2024;02:00:00;000001;11121956;3535,6362;3535,6362;0,0000;49,7710;49,7710;0,0000;173;
345;25.02.2024;01:45:00;000001;11121956;3535,5928;3535,5928;0,0000;49,7710;49,7710;0,0000;136;
346;25.02.2024;01:30:00;000001;11121956;3535,5524;3535,5524;0,0000;49,7710;49,7710;0,0000;136;
347;25.02.2024;01:15:00;000001;11121956;3535,5175;3535,5175;0,0000;49,7710;49,7710;0,0000;136;
348;25.02.2024;01:00:00;000001;11121956;3535,4835;3535,4835;0,0000;49,7710;49,7710;0,0000;135;
349;25.02.2024;00:45:00;000001;11121956;3535,4488;3535,4488;0,0000;49,7710;49,7710;0,0000;135;
350;25.02.2024;00:30:00;000001;11121956;3535,4148;3535,4148;0,0000;49,7710;49,7710;0,0000;138;
351;25.02.2024;00:15:00;000001;11121956;3535,3741;3535,3741;0,0000;49,7710;49,7710;0,0000;135;
352;25.02.2024;00:00:00;000001;11121956;3535,3400;3535,3400;0,0000;49,7710;49,7710;0,0000;135;
353;24.02.2024;23:45:00;000001;11121956;3535,3022;3535,3022;0,0000;49,7710;49,7710;0,0000;172;
354;24.02.2024;23:30:00;000001;11121956;3535,2586;3535,2586;0,0000;49,7710;49,7710;0,0000;169;
355;24.02.2024;23:15:00;000001;11121956;3535,2229;3535,2229;0,0000;49,7710;49,7710;0,0000;136;
356;24.02.2024;23:00:00;000001;11121956;3535,1826;3535,1826;0,0000;49,7710;49,7710;0,0000;136;
357;24.02.2024;22:45:00;000001;11121956;3535,1476;3535,1476;0,0000;49,7710;49,7710;0,0000;139;
358;24.02.2024;22:30:00;000001;11121956;3535,1129;3535,1129;0,0000;49,7710;49,7710;0,0000;139;
359;24.02.2024;22:15:00;000001;11121956;3535,0780;3535,0780;0,0000;49,7710;49,7710;0,0000;140;
360;24.02.2024;22:00:00;000001;11121956;3535,0417;3535,0417;0,0000;49,7710;49,7710;0,0000;143;
361;24.02.2024;21:45:00;000001;11121956;3535,0000;3535,0000;0,0000;49,7710;49,7710;0,0000;194;
